Country,2012,2013,2014
Australia, 0.39 , 0.37 , 0.36 
Brazil, 0.47 , 0.50 , 0.53 
Canada, 0.52 , 0.52 , 0.54 
Mexico, 0.50 , 0.49 , 0.48 
United Kingdom, 0.47 , 0.46 , 0.42 
,,,
